Name,Published On,Description,Publisher,Url
Configuring Scheduling Agreements for Component Suppliers,"Dec 28, 2021",,SAPLAND,https://sappro.sapland.ru/kb/articles/stats/ispolizovanie-i-konphiguratsiya-komponenta-scheduling-agreement-for-component-su.html
Configuring Scheduling Agreements for Component Suppliers II,"Dec 30, 2021",,SAPLAND,https://sappro.sapland.ru/kb/articles/stats/ispolizovanie-i-konphiguratsiya-komponenta-scheduling-agreement-for-component-su-2.html
Visual SAP with plantUML - Knowledge base,"May 27, 2025",,,https://kharlanau.hashnode.dev/visual-sap-with-plantuml-knowledge-base
DAMA-to-SAP MDG Knowledge Map,"May 25, 2025",,,https://kharlanau.hashnode.dev/dama-to-sap-mdg-knowledge-map
How to add customer-specific fields to BP in SAP S4 on premise,,,,https://www.linkedin.com/pulse/how-add-customer-specific-fields-bp-sap-s4-premise-%D0%B4%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9-%D1%85%D0%B0%D1%80%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2
Working with the Business Object Processing Framework (BOPF),"Dec 24, 2024",,,https://www.linkedin.com/pulse/working-business-object-processing-framework-bopf-dzmitryi-kharlanau-hwgnf/
Explain me Event-Driven Architecture,"Aug 1, 2025",,,https://www.linkedin.com/pulse/explain-me-event-driven-architecture-restaurant-dzmitryi-kharlanau-09e6c/?trackingId=nQ4P2FU5QsWSZtsCBihVag%3D%3D
How to Test SAP Sales Cloud OData API with Postman,"Jul 31, 2025",,,https://www.linkedin.com/pulse/how-test-sap-sales-cloud-odata-api-postman-dzmitryi-kharlanau-otztf/?trackingId=nQ4P2FU5QsWSZtsCBihVag%3D%3D
Domain-Driven Design (DDD): Some Insights from Reading,"Dec 18, 2024",,,https://www.linkedin.com/pulse/domain-driven-design-ddd-some-insights-from-reading-kharlanau-ukysf/?trackingId=BqeurTVBS1muxBZbU%2FHrgw%3D%3D
How MRP Works in SAP: Old vs. MRP Live / Depth look / Guide,"Dec 10, 2024",,,https://www.linkedin.com/pulse/how-mrp-works-sap-old-vs-live-depth-look-guide-dzmitryi-kharlanau-ckihf/?trackingId=BqeurTVBS1muxBZbU%2FHrgw%3D%3D
Build Better Products with a Human-Centered Product Backlog,"Dec 5, 2024",,,https://www.linkedin.com/pulse/build-better-products-human-centered-product-backlog-kharlanau-bcmef/?trackingId=BGhP8XdPSAG83I%2B0hH1xGw%3D%3D
E-Mail-Template with CDS in SAP S/4HANA,"Dec 21, 2021",,,https://www.linkedin.com/pulse/e-mail-template-cds-sap-s4hana-%25D0%25B4%25D0%25BC%25D0%25B8%25D1%2582%25D1%2580%25D0%25B8%25D0%25B9-%25D1%2585%25D0%25B0%25D1%2580%25D0%25BB%25D0%25B0%25D0%25BD%25D0%25BE%25D0%25B2/?trackingId=mB9xbCcySuChxJhhUi0laA%3D%3D
How to add customer-specific fields into MB52,"Feb 22, 2022",,,https://community.sap.com/t5/enterprise-resource-planning-blog-posts-by-members/how-to-add-customer-specific-fields-into-mb52/ba-p/13545351
How to change Field control in ME5*N?,"Feb 22, 2022",,,https://community.sap.com/t5/enterprise-resource-planning-blog-posts-by-members/how-to-change-field-control-in-me5-n/ba-p/13521634
How to debug A2A inbound service call from SAP TM in SAP S4,"Feb 22, 2022",,,https://community.sap.com/t5/enterprise-resource-planning-blog-posts-by-members/how-to-debug-a2a-inbound-service-call-from-sap-tm-in-sap-s4/ba-p/13533349
